date_and_time,hexagon_center,num_bikes_avg
2020-10-07T16:07:01,"34.045759098825435,-118.25712403005498",598.4285714285714
2020-10-07T15:42:02,"34.04225952047981,-118.2648600906661",363.6190476190476
2020-10-07T14:42:02,"34.04925867717105,-118.24938796944386",353.6666666666667
2020-10-07T14:42:02,"34.04925867717105,-118.2648600906661",353.95238095238096
2020-10-07T16:07:01,"34.10175235235539,-118.33448463616621",352.5238095238095
2020-10-07T16:00:03,"34.098252774009765,-118.34222069677733",338.95238095238096
2020-10-07T16:28:02,"34.098252774009765,-118.32674857555509",318.14285714285717
2020-10-07T16:35:02,"34.05275825551668,-118.25712403005498",279.3333333333333
2020-10-07T15:00:02,"34.03875994213419,-118.25712403005498",290.95238095238096
2020-10-07T14:28:03,"34.08425446062728,-118.35769281799958",277.42857142857144
2020-10-07T16:42:02,"34.014262893714836,-118.49694190899979",272.23809523809524
2020-10-07T16:00:03,"34.04225952047981,-118.24938796944386",208.95238095238096
2020-10-07T16:42:02,"33.98976584529548,-118.47373372716642",193.04761904761904
2020-10-07T16:07:01,"33.996765001986724,-118.47373372716642",177.9047619047619
2020-10-07T15:07:02,"33.993265423641105,-118.4659976665553",168.0
2020-10-07T15:07:02,"34.056257833862304,-118.24938796944386",156.66666666666666
2020-10-07T16:35:02,"34.10525193070101,-118.32674857555509",150.61904761904762
2020-10-07T16:42:02,"34.08075488228165,-118.34995675738845",149.0952380952381
2020-10-07T15:49:02,"34.161245184230964,-118.37316493922182",141.14285714285714
2020-10-07T14:28:03,"34.05275825551668,-118.24165190883274",136.28571428571428
2020-10-07T15:56:02,"34.017762472060454,-118.48920584838866",124.76190476190476
2020-10-07T16:28:02,"33.986266266949855,-118.4659976665553",116.52380952380952
2020-10-07T14:56:01,"34.10525193070101,-118.34222069677733",120.66666666666667
2020-10-07T16:42:02,"34.056257833862304,-118.2648600906661",116.42857142857143
2020-10-07T16:21:02,"34.16824434092221,-118.37316493922182",117.04761904761905
2020-10-07T14:28:03,"34.08075488228165,-118.3654288786107",106.9047619047619
2020-10-07T16:42:02,"34.045759098825435,-118.27259615127723",105.52380952380952
2020-10-07T16:42:02,"33.98976584529548,-118.45826160594417",102.80952380952381
2020-10-07T16:35:02,"34.06325699055355,-118.2958043331106",98.33333333333333
2020-10-07T15:21:02,"34.045759098825435,-118.24165190883274",100.23809523809524
2020-10-07T15:14:02,"34.04225952047981,-118.23391584822161",100.52380952380952
2020-10-07T14:56:01,"34.08425446062728,-118.37316493922182",97.38095238095238
2020-10-07T16:28:02,"34.01076331536921,-118.48920584838866",88.76190476190476
2020-10-07T15:35:02,"34.09475319566415,-118.33448463616621",93.38095238095238
2020-10-07T14:49:02,"34.10175235235539,-118.34995675738845",94.0952380952381
2020-10-07T16:42:02,"34.00376415867797,-118.48920584838866",80.95238095238095
2020-10-07T16:35:02,"34.00026458033235,-118.48146978777754",86.52380952380952
2020-10-07T16:42:02,"34.00026458033235,-118.4659976665553",81.33333333333333
2020-10-07T15:21:02,"33.737796204410685,-118.28806827249947",85.85714285714286
2020-10-07T15:07:02,"34.03526036378857,-118.2648600906661",81.23809523809524
